,Europe,Europe prop,Europe perc,Iberian Penincula,Iberian Penincula prop,Iberian Penincula perc,,,,,,,,
Admixed,85,0.125,12.5,30,0.1875,18.75,,,,,,,,
Asia,58,0.08529412,8.529412,0,,0,,,,,,,,
CentralEurope,169,0.24852941,24.852941,0,,0,,,,,,,,
Germany,57,0.08382353,8.382353,0,,0,,,,,,,,
italy_balkan_caucasus,85,0.125,12.5,1,0.00625,0.625,,,,,,,,
NorthSweden,31,0.04558824,4.558824,0,,0,,,,,,,,
SouthSweden,118,0.17352941,17.352941,0,,0,,,,,,,,
WesternEurope,77,0.11323529,11.323529,19,0.11875,11.875,,,,,,,,
relict,0,,0,17,0.10625,10.625,,,,,,,,
spain,0,,0,93,0.58125,58.125,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pearson's Chi-squared test,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
data:  Prec_group_1,,,,,,,,,,,,,,
"X-squared = 144.43, df = 9, p-value < 2.2e-16",,,,,,,,,,,,,,
